"Instrument,Mean,Median,Std.,Var,Spectral Centroid,Spectral roll-off"
"Flute,-0.011542201,-0.016174316,0.030282748,0.000917045,0.072538925,0.061658086"
"Flute,-0.007690668,-0.005126953,0.025170295,0.000633544,0.072163556,0.061339023"
"Flute,-0.00552547,0.001113892,0.020482166,0.000419519,0.07174552,0.060983692"
"Flute,-0.011354446,-0.005844116,0.017825536,0.00031775,0.071387886,0.060679703"
"Flute,-0.011582255,-0.006713867,0.015976327,0.000255243,0.070993182,0.060344205"
"Flute,-0.007458329,-0.004379272,0.013925133,0.000193909,0.070619437,0.060026522"
"Flute,-0.006354928,-0.005447388,0.011817917,0.000139663,0.070235356,0.059700053"
"TUNING_FORK,0.000799417,0.00088501,0.001274793,1.63E-06,0.204650879,0.173953247"
"TUNING_FORK,0.000539422,0.000518799,0.000886818,7.86E-07,0.174313093,0.148166129"
"TUNING_FORK,-0.001131296,-0.001190186,0.001096731,1.20E-06,0.147336189,0.125235761"
"TUNING_FORK,0.003955483,0.002441406,0.005357028,2.87E-05,0.114277995,0.097136295"
"TUNING_FORK,-0.005550981,-0.006500244,0.004961226,2.46E-05,0.094401933,0.080241643"
"TUNING_FORK,0.003911734,0.003540039,0.004890941,2.39E-05,0.094373178,0.080217201"
"TUNING_FORK,0.001788378,0.002120972,0.003807324,1.45E-05,0.086175068,0.073248807"
"TUNING_FORK,-0.005049467,-0.003250122,0.013822516,0.000191062,0.077305325,0.065709526"
"TUNING_FORK,0.004425049,0.003173828,0.009997931,1.00E-04,0.071023779,0.060370212"
"TUNING_FORK,-0.00060904,9.16E-05,0.00371012,1.38E-05,0.066418885,0.056456052"
"TUNING_FORK,0.001168489,0.001403809,0.004145983,1.72E-05,0.06284499,0.053418241"
"TUNING_FORK,-7.27E-05,-0.00012207,0.006712942,4.51E-05,0.058829679,0.050005227"
"TUNING_FORK,0.001082063,0.002166748,0.005246563,2.75E-05,0.054704248,0.04649861"
"TUNING_FORK,-0.000919342,-0.000793457,0.004291245,1.84E-05,0.052125807,0.044306936"
"TUNING_FORK,-0.001007438,-0.000701904,0.003924173,1.54E-05,0.049123453,0.041754935"
"TUNING_FORK,0.001930118,0.001693726,0.005628726,3.17E-05,0.046527245,0.039548158"
"TUNING_FORK,-0.000491977,-0.001617432,0.004746722,2.25E-05,0.044455547,0.037787215"
"TUNING_FORK,0.000982761,0.000442505,0.00387076,1.50E-05,0.042980213,0.036533181"
"TUNING_FORK,0.001459599,0.002456665,0.005794735,3.36E-05,0.041102003,0.034936703"
"TUNING_FORK,8.86E-05,0.000274658,0.004191717,1.76E-05,0.039633843,0.033688766"
"TUNING_FORK,-0.004726171,-0.005050659,0.087645937,0.00768181,0.038953686,0.033110633"
"TUNING_FORK,0.005603909,0.013214111,0.146043335,0.021328656,0.037416763,0.031804248"
"TUNING_FORK,0.004472375,0.012069702,0.166339857,0.027668948,0.036071264,0.030660575"
"TUNING_FORK,0.014089704,0.025588989,0.187113238,0.035011364,0.035146992,0.029874943"
